epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
44,738.685,1.44409,1.44192,0.02068,0.60498,0.61422,0.6243,0.33582,1.55041,1.64927,0.03123,0.005743,0.005743,0.005743
45,755.518,1.42469,1.42383,0.02067,0.63851,0.65369,0.68591,0.37409,1.54624,1.36064,0.0304,0.005644,0.005644,0.005644
46,772.307,1.44379,1.39278,0.02057,0.6516,0.52324,0.55678,0.30243,1.65531,1.87354,0.03423,0.005545,0.005545,0.005545
47,789.017,1.44366,1.38738,0.02088,0.65176,0.62694,0.68252,0.38221,1.52294,1.34527,0.03002,0.005446,0.005446,0.005446
48,805.693,1.43234,1.38633,0.02072,0.63014,0.65453,0.67614,0.37092,1.53796,1.35156,0.03085,0.005347,0.005347,0.005347
49,822.375,1.42989,1.40197,0.02047,0.66659,0.69368,0.7158,0.39811,1.52308,1.32042,0.02966,0.005248,0.005248,0.005248
50,839.165,1.43091,1.36171,0.02044,0.73657,0.58577,0.69868,0.38899,1.54845,1.3888,0.03082,0.005149,0.005149,0.005149
51,856.09,1.42817,1.37222,0.02078,0.60419,0.67452,0.68338,0.37438,1.54526,1.36607,0.03093,0.00505,0.00505,0.00505
52,872.233,1.41408,1.32636,0.02049,0.64949,0.68268,0.70162,0.3921,1.51009,1.32905,0.03052,0.004951,0.004951,0.004951
53,888.393,1.41003,1.29373,0.02035,0.67619,0.6625,0.69724,0.39058,1.52014,1.32309,0.03011,0.004852,0.004852,0.004852
54,904.497,1.41814,1.34894,0.0206,0.64432,0.66493,0.67898,0.37255,1.54753,1.36857,0.03119,0.004753,0.004753,0.004753
55,920.577,1.40413,1.35129,0.01968,0.66909,0.65272,0.69902,0.38676,1.55294,1.27181,0.03136,0.004654,0.004654,0.004654
56,936.639,1.41765,1.33845,0.02052,0.66546,0.68712,0.70813,0.39647,1.51946,1.27424,0.03054,0.004555,0.004555,0.004555
57,952.785,1.41208,1.32309,0.02004,0.67033,0.65882,0.71357,0.3977,1.5205,1.33105,0.03009,0.004456,0.004456,0.004456
58,968.949,1.3949,1.30519,0.01964,0.69286,0.64579,0.71439,0.40584,1.493,1.28523,0.03074,0.004357,0.004357,0.004357
59,985.027,1.40684,1.32104,0.02019,0.64601,0.66496,0.70848,0.40635,1.45574,1.28903,0.02888,0.004258,0.004258,0.004258
60,1001.11,1.37782,1.28986,0.02006,0.66026,0.66358,0.71069,0.40812,1.47969,1.2658,0.02972,0.004159,0.004159,0.004159
61,1017.15,1.38909,1.32,0.01972,0.67778,0.65853,0.72203,0.39449,1.54997,1.23792,0.03137,0.00406,0.00406,0.00406
62,1033.27,1.3729,1.30494,0.0197,0.67628,0.66047,0.68754,0.38825,1.52502,1.31578,0.03068,0.003961,0.003961,0.003961
63,1049.47,1.40075,1.29515,0.02007,0.66266,0.64773,0.67804,0.3817,1.50377,1.41159,0.03053,0.003862,0.003862,0.003862
64,1065.53,1.3576,1.25826,0.01941,0.66057,0.67502,0.71297,0.40812,1.47975,1.26267,0.02903,0.003763,0.003763,0.003763
65,1081.58,1.37504,1.24575,0.01973,0.68455,0.69212,0.72768,0.4119,1.49019,1.20755,0.02926,0.003664,0.003664,0.003664
66,1097.68,1.3635,1.2547,0.01925,0.66231,0.68283,0.71155,0.41006,1.45814,1.22811,0.02932,0.003565,0.003565,0.003565
67,1113.72,1.35925,1.27336,0.01948,0.68763,0.66824,0.71388,0.40933,1.492,1.31532,0.0295,0.003466,0.003466,0.003466
68,1129.76,1.37167,1.24314,0.01911,0.69622,0.69969,0.73382,0.42968,1.44643,1.16919,0.02892,0.003367,0.003367,0.003367
69,1145.91,1.36708,1.27001,0.01974,0.69611,0.67129,0.73022,0.423,1.46163,1.17936,0.0288,0.003268,0.003268,0.003268
70,1162.02,1.35757,1.21448,0.01942,0.71602,0.68866,0.73761,0.42467,1.48144,1.15359,0.02981,0.003169,0.003169,0.003169
71,1178.08,1.3577,1.24757,0.01919,0.69504,0.66591,0.71851,0.4044,1.50839,1.17482,0.03082,0.00307,0.00307,0.00307
72,1194.14,1.34588,1.23999,0.01925,0.68255,0.61187,0.64723,0.36584,1.5598,1.52725,0.03167,0.002971,0.002971,0.002971
73,1210.18,1.35248,1.25368,0.01874,0.69208,0.67108,0.71007,0.41078,1.47452,1.23204,0.02973,0.002872,0.002872,0.002872
74,1226.38,1.35343,1.21467,0.01921,0.71529,0.6983,0.73693,0.41542,1.47976,1.19767,0.02912,0.002773,0.002773,0.002773
75,1242.4,1.33206,1.21279,0.01877,0.68737,0.70282,0.73398,0.41409,1.47142,1.25694,0.02941,0.002674,0.002674,0.002674
76,1258.45,1.33858,1.23677,0.01908,0.74436,0.65026,0.72248,0.41225,1.48027,1.19931,0.0294,0.002575,0.002575,0.002575
77,1274.71,1.32815,1.18438,0.01917,0.74285,0.7162,0.76025,0.44192,1.45063,1.11842,0.02855,0.002476,0.002476,0.002476
78,1290.84,1.32734,1.23069,0.01943,0.66807,0.66796,0.71285,0.42112,1.43725,1.20921,0.02869,0.002377,0.002377,0.002377
79,1306.88,1.32876,1.20745,0.0192,0.74762,0.67512,0.75204,0.43576,1.43614,1.14957,0.02868,0.002278,0.002278,0.002278
80,1322.89,1.32523,1.18474,0.01873,0.68673,0.72374,0.74015,0.43389,1.42686,1.16377,0.02852,0.002179,0.002179,0.002179
