epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,530.997,1.39839,1.39321,1.52771,0.50113,0.46891,0.51208,0.26347,1.78177,2.12743,1.90071,0.005743,0.005743,0.005743
45,543.071,1.37984,1.37034,1.52694,0.61993,0.53397,0.60712,0.32774,1.61825,1.52858,1.71232,0.005644,0.005644,0.005644
46,555.004,1.3723,1.3676,1.50527,0.61929,0.60309,0.6768,0.36926,1.57287,1.45874,1.66551,0.005545,0.005545,0.005545
47,566.94,1.36614,1.3643,1.5124,0.53296,0.30748,0.30458,0.15369,2.02862,3.03006,2.22349,0.005446,0.005446,0.005446
48,578.85,1.36024,1.35916,1.51174,0.53933,0.68161,0.66039,0.35398,1.56432,1.46855,1.65954,0.005347,0.005347,0.005347
49,590.801,1.36634,1.36807,1.51762,0.58193,0.63267,0.64476,0.34612,1.57705,1.50017,1.67996,0.005248,0.005248,0.005248
50,602.712,1.36756,1.3593,1.51831,0.63903,0.65637,0.68445,0.36756,1.55102,1.3858,1.64502,0.005149,0.005149,0.005149
51,614.657,1.35662,1.34249,1.50265,0.56477,0.68743,0.68159,0.37735,1.52444,1.36103,1.62919,0.00505,0.00505,0.00505
52,626.564,1.34237,1.34751,1.50066,0.62694,0.56815,0.61789,0.32762,1.62447,1.68342,1.75899,0.004951,0.004951,0.004951
53,638.492,1.33837,1.29635,1.48478,0.59639,0.67443,0.7001,0.39436,1.50809,1.33936,1.60727,0.004852,0.004852,0.004852
54,650.419,1.34593,1.33064,1.49879,0.58268,0.6539,0.66446,0.37461,1.55286,1.39217,1.6642,0.004753,0.004753,0.004753
55,662.39,1.34476,1.32945,1.48999,0.64062,0.63232,0.65621,0.36124,1.57019,1.48373,1.69406,0.004654,0.004654,0.004654
56,674.638,1.35097,1.30765,1.49911,0.64299,0.67061,0.70334,0.38349,1.5226,1.31611,1.64641,0.004555,0.004555,0.004555
57,686.867,1.33765,1.28985,1.48,0.62514,0.65927,0.70592,0.38576,1.53835,1.30896,1.63528,0.004456,0.004456,0.004456
58,699.301,1.32942,1.31075,1.48751,0.64397,0.63428,0.67342,0.36925,1.54068,1.38975,1.64564,0.004357,0.004357,0.004357
59,711.702,1.32825,1.30216,1.49004,0.69463,0.6379,0.7077,0.40138,1.48002,1.30891,1.6074,0.004258,0.004258,0.004258
60,724.117,1.30726,1.28231,1.47966,0.63613,0.67572,0.70827,0.39769,1.50527,1.29332,1.61854,0.004159,0.004159,0.004159
61,736.55,1.33322,1.29904,1.48505,0.72105,0.6569,0.72382,0.40327,1.51465,1.29654,1.62338,0.00406,0.00406,0.00406
62,748.941,1.32575,1.2843,1.48513,0.62067,0.6677,0.69803,0.38474,1.50441,1.32953,1.63108,0.003961,0.003961,0.003961
63,760.962,1.33711,1.28275,1.48252,0.62637,0.6759,0.69474,0.39723,1.46707,1.33656,1.61265,0.003862,0.003862,0.003862
64,772.898,1.30716,1.25862,1.47107,0.63458,0.68822,0.71774,0.3938,1.527,1.3351,1.62906,0.003763,0.003763,0.003763
65,784.852,1.3077,1.26836,1.48344,0.71217,0.64892,0.72256,0.40088,1.52063,1.30245,1.62102,0.003664,0.003664,0.003664
66,796.818,1.2985,1.24363,1.45397,0.66106,0.68963,0.73222,0.42019,1.4475,1.26776,1.57508,0.003565,0.003565,0.003565
67,808.765,1.31029,1.25619,1.47419,0.62249,0.70619,0.72847,0.40799,1.48433,1.23922,1.60368,0.003466,0.003466,0.003466
68,820.734,1.31827,1.24411,1.45929,0.65931,0.60144,0.68505,0.39018,1.48175,1.35692,1.60965,0.003367,0.003367,0.003367
69,832.67,1.31473,1.26345,1.47917,0.62687,0.6645,0.68231,0.37844,1.54408,1.30769,1.64771,0.003268,0.003268,0.003268
70,844.641,1.28937,1.22264,1.46157,0.65784,0.67783,0.7046,0.39116,1.54644,1.31478,1.63754,0.003169,0.003169,0.003169
71,856.657,1.28939,1.23881,1.4551,0.68008,0.67401,0.72042,0.40986,1.48245,1.27252,1.59991,0.00307,0.00307,0.00307
72,868.627,1.29042,1.23789,1.46401,0.61546,0.66437,0.69975,0.39549,1.5212,1.2633,1.62698,0.002971,0.002971,0.002971
73,880.565,1.27632,1.22906,1.45064,0.64065,0.70723,0.73292,0.40916,1.50989,1.30072,1.603,0.002872,0.002872,0.002872
74,892.512,1.29004,1.2231,1.46011,0.62206,0.68417,0.70528,0.38998,1.54096,1.30583,1.6382,0.002773,0.002773,0.002773
75,904.455,1.27099,1.22498,1.44831,0.64209,0.72651,0.73926,0.41759,1.47098,1.22168,1.61417,0.002674,0.002674,0.002674
76,916.398,1.27334,1.23081,1.44882,0.61426,0.69997,0.71529,0.40911,1.47844,1.23944,1.62176,0.002575,0.002575,0.002575
77,928.323,1.28027,1.19258,1.44551,0.65213,0.69831,0.72125,0.4098,1.47098,1.2583,1.59642,0.002476,0.002476,0.002476
78,940.303,1.2763,1.21139,1.46724,0.63523,0.61823,0.67731,0.35761,1.59609,1.44203,1.69485,0.002377,0.002377,0.002377
79,952.239,1.27549,1.20448,1.45736,0.64687,0.70397,0.72383,0.40358,1.50451,1.29592,1.6138,0.002278,0.002278,0.002278
80,964.173,1.26109,1.1855,1.43597,0.60584,0.64417,0.67384,0.37447,1.53117,1.42642,1.66255,0.002179,0.002179,0.002179
81,976.122,1.26284,1.16616,1.42767,0.64076,0.72119,0.72274,0.41198,1.47696,1.22807,1.59625,0.00208,0.00208,0.00208
82,988.045,1.26352,1.16224,1.43149,0.65644,0.69834,0.72621,0.41624,1.48126,1.20566,1.58268,0.001981,0.001981,0.001981
83,1000.03,1.2591,1.17429,1.43738,0.66485,0.7079,0.72629,0.41178,1.49939,1.22072,1.60745,0.001882,0.001882,0.001882
84,1012.08,1.24439,1.1551,1.43324,0.68753,0.65514,0.70959,0.39927,1.505,1.30389,1.61964,0.001783,0.001783,0.001783
85,1024.01,1.23904,1.14717,1.42396,0.69559,0.64939,0.7093,0.40742,1.48119,1.21765,1.59625,0.001684,0.001684,0.001684
86,1035.94,1.22189,1.14257,1.42222,0.66789,0.69819,0.72677,0.41138,1.48361,1.23058,1.60409,0.001585,0.001585,0.001585
87,1048.37,1.23268,1.16806,1.43356,0.68837,0.69414,0.732,0.42238,1.4585,1.19167,1.58525,0.001486,0.001486,0.001486
88,1060.85,1.23133,1.1696,1.42288,0.6423,0.68064,0.70156,0.3978,1.48975,1.28282,1.63435,0.001387,0.001387,0.001387
89,1073.27,1.24852,1.15828,1.43111,0.69554,0.66318,0.72337,0.41523,1.46807,1.21717,1.59185,0.001288,0.001288,0.001288
90,1085.69,1.21742,1.13586,1.41212,0.70657,0.63647,0.71318,0.40945,1.47103,1.26951,1.59863,0.001189,0.001189,0.001189
91,1103.05,1.24683,1.13167,1.46822,0.70092,0.67626,0.71753,0.40224,1.49271,1.20383,1.61474,0.00109,0.00109,0.00109
92,1115.41,1.23044,1.08239,1.46211,0.73293,0.66675,0.72801,0.41235,1.47809,1.19751,1.61656,0.000991,0.000991,0.000991
93,1127.75,1.21754,1.05774,1.45276,0.66722,0.70508,0.73083,0.42049,1.47137,1.21162,1.60264,0.000892,0.000892,0.000892
94,1139.98,1.21249,1.05206,1.46508,0.7128,0.69754,0.73563,0.42269,1.46687,1.18335,1.59633,0.000793,0.000793,0.000793
95,1152.24,1.20326,1.05748,1.45391,0.73343,0.6951,0.74939,0.43352,1.43982,1.17165,1.57688,0.000694,0.000694,0.000694
96,1164.46,1.19908,1.04926,1.445,0.64625,0.72364,0.73443,0.42244,1.4808,1.1863,1.60913,0.000595,0.000595,0.000595
97,1176.73,1.19347,1.03869,1.44178,0.69472,0.70054,0.73822,0.4252,1.45038,1.16082,1.60043,0.000496,0.000496,0.000496
98,1188.63,1.17952,1.03461,1.43533,0.69525,0.69009,0.7238,0.4266,1.4531,1.16593,1.59781,0.000397,0.000397,0.000397
99,1200.6,1.18248,1.0151,1.43427,0.69027,0.7088,0.73986,0.43546,1.44009,1.16864,1.58804,0.000298,0.000298,0.000298
100,1212.51,1.17202,1.00723,1.42719,0.66511,0.71663,0.73549,0.42981,1.45328,1.16143,1.5945,0.000199,0.000199,0.000199
